scenario,window_id,window_start_read,window_end_read,disk8_state,disk9_state,active_slow_disks,policy,p99_ms_median,p99_ms_min,p99_ms_max
dynamic_degradation,0,0,5000,healthy,healthy,0,vanilla_ec,18.8,18.5,19.2
dynamic_degradation,1,5000,10000,healthy,healthy,0,vanilla_ec,18.8,18.5,19
dynamic_degradation,2,10000,15000,healthy,healthy,0,vanilla_ec,18.8,18.5,19.2
dynamic_degradation,3,15000,20000,mild_slow,healthy,1,vanilla_ec,42.6,41.2,45.5
dynamic_degradation,4,20000,25000,mild_slow,healthy,1,vanilla_ec,42.7,41.5,44.3
dynamic_degradation,5,25000,30000,mild_slow,healthy,1,vanilla_ec,42.65,40.8,45.3
dynamic_degradation,6,30000,35000,severe_slow,healthy,1,vanilla_ec,549.15,537.9,558.6
dynamic_degradation,7,35000,40000,severe_slow,healthy,1,vanilla_ec,547.85,536,554.7
dynamic_degradation,8,40000,45000,severe_slow,healthy,1,vanilla_ec,548.65,541.4,557.1
dynamic_degradation,9,45000,50000,recovery,mild_slow,1,vanilla_ec,44.9,43.2,54.8
dynamic_degradation,10,50000,55000,recovery,mild_slow,1,vanilla_ec,45.5,43.2,93.3
dynamic_degradation,11,55000,60000,healthy,severe_slow,1,vanilla_ec,548.25,533,556.8
dynamic_degradation,12,60000,65000,healthy,severe_slow,1,vanilla_ec,548.05,532.4,554.7
dynamic_degradation,13,65000,70000,healthy,severe_slow,1,vanilla_ec,547.85,535,554
dynamic_degradation,14,70000,75000,mild_slow,recovery,1,vanilla_ec,45.25,42.4,91.9
dynamic_degradation,15,75000,80000,recovery,recovery,0,vanilla_ec,26.4,25.7,27.3
dynamic_degradation,16,80000,85000,healthy,healthy,0,vanilla_ec,18.8,18.5,19.2
dynamic_degradation,17,85000,90000,healthy,healthy,0,vanilla_ec,18.8,18.5,19.1
dynamic_degradation,18,90000,95000,healthy,healthy,0,vanilla_ec,18.8,18.5,19.2
dynamic_degradation,19,95000,100000,healthy,healthy,0,vanilla_ec,18.8,18.4,19.1
dynamic_degradation,0,0,5000,healthy,healthy,0,late_binding,15.4,15.2,15.7
dynamic_degradation,1,5000,10000,healthy,healthy,0,late_binding,15.4,15.2,15.7
dynamic_degradation,2,10000,15000,healthy,healthy,0,late_binding,15.4,15.2,15.7
dynamic_degradation,3,15000,20000,mild_slow,healthy,1,late_binding,18,17.8,18.4
dynamic_degradation,4,20000,25000,mild_slow,healthy,1,late_binding,18.1,17.8,18.5
dynamic_degradation,5,25000,30000,mild_slow,healthy,1,late_binding,18.1,17.6,18.4
dynamic_degradation,6,30000,35000,severe_slow,healthy,1,late_binding,18.4,18,18.8
dynamic_degradation,7,35000,40000,severe_slow,healthy,1,late_binding,18.3,17.8,18.6
dynamic_degradation,8,40000,45000,severe_slow,healthy,1,late_binding,18.35,18,18.6
dynamic_degradation,9,45000,50000,recovery,mild_slow,1,late_binding,22.9,22.4,24
dynamic_degradation,10,50000,55000,recovery,mild_slow,1,late_binding,23,22.4,23.9
dynamic_degradation,11,55000,60000,healthy,severe_slow,1,late_binding,18,17.7,18.2
dynamic_degradation,12,60000,65000,healthy,severe_slow,1,late_binding,18.05,17.6,18.4
dynamic_degradation,13,65000,70000,healthy,severe_slow,1,late_binding,18.1,17.5,18.4
dynamic_degradation,14,70000,75000,mild_slow,recovery,1,late_binding,23.1,22.5,23.8
dynamic_degradation,15,75000,80000,recovery,recovery,0,late_binding,19.1,18.6,19.7
dynamic_degradation,16,80000,85000,healthy,healthy,0,late_binding,15.4,15.3,15.6
dynamic_degradation,17,85000,90000,healthy,healthy,0,late_binding,15.5,15.3,15.6
dynamic_degradation,18,90000,95000,healthy,healthy,0,late_binding,15.5,15.3,15.7
dynamic_degradation,19,95000,100000,healthy,healthy,0,late_binding,15.4,15.2,15.7
dynamic_degradation,0,0,5000,healthy,healthy,0,timeout_degraded_read,18.8,18.5,19.1
dynamic_degradation,1,5000,10000,healthy,healthy,0,timeout_degraded_read,18.8,18.5,18.9
dynamic_degradation,2,10000,15000,healthy,healthy,0,timeout_degraded_read,18.7,18.5,19
dynamic_degradation,3,15000,20000,mild_slow,healthy,1,timeout_degraded_read,29.1,28.8,29.5
dynamic_degradation,4,20000,25000,mild_slow,healthy,1,timeout_degraded_read,29.2,28.7,29.6
dynamic_degradation,5,25000,30000,mild_slow,healthy,1,timeout_degraded_read,29.15,28.7,29.5
dynamic_degradation,6,30000,35000,severe_slow,healthy,1,timeout_degraded_read,31.15,30.6,31.6
dynamic_degradation,7,35000,40000,severe_slow,healthy,1,timeout_degraded_read,31.15,30.9,31.5
dynamic_degradation,8,40000,45000,severe_slow,healthy,1,timeout_degraded_read,31.05,30.6,31.4
dynamic_degradation,9,45000,50000,recovery,mild_slow,1,timeout_degraded_read,29.3,28.7,29.9
dynamic_degradation,10,50000,55000,recovery,mild_slow,1,timeout_degraded_read,29.2,28.7,29.8
dynamic_degradation,11,55000,60000,healthy,severe_slow,1,timeout_degraded_read,31,30.7,31.4
dynamic_degradation,12,60000,65000,healthy,severe_slow,1,timeout_degraded_read,31.1,30.8,31.5
dynamic_degradation,13,65000,70000,healthy,severe_slow,1,timeout_degraded_read,31.1,30.7,31.5
dynamic_degradation,14,70000,75000,mild_slow,recovery,1,timeout_degraded_read,29.3,28.6,29.7
dynamic_degradation,15,75000,80000,recovery,recovery,0,timeout_degraded_read,24.2,23.9,24.7
dynamic_degradation,16,80000,85000,healthy,healthy,0,timeout_degraded_read,18.7,18.4,19
dynamic_degradation,17,85000,90000,healthy,healthy,0,timeout_degraded_read,18.7,18.4,19.1
dynamic_degradation,18,90000,95000,healthy,healthy,0,timeout_degraded_read,18.7,18.5,19.1
dynamic_degradation,19,95000,100000,healthy,healthy,0,timeout_degraded_read,18.7,18.4,19.1
dynamic_degradation,0,0,5000,healthy,healthy,0,health_ec,18.8,18.5,19.2
dynamic_degradation,1,5000,10000,healthy,healthy,0,health_ec,18.8,18.5,19
dynamic_degradation,2,10000,15000,healthy,healthy,0,health_ec,18.75,18.5,19.2
dynamic_degradation,3,15000,20000,mild_slow,healthy,1,health_ec,39.75,38.4,43.2
dynamic_degradation,4,20000,25000,mild_slow,healthy,1,health_ec,39.7,38.2,40.9
dynamic_degradation,5,25000,30000,mild_slow,healthy,1,health_ec,39.3,38.3,41
dynamic_degradation,6,30000,35000,severe_slow,healthy,1,health_ec,97.45,89.3,109.1
dynamic_degradation,7,35000,40000,severe_slow,healthy,1,health_ec,93.8,90.6,101.3
dynamic_degradation,8,40000,45000,severe_slow,healthy,1,health_ec,94.9,89,106.4
dynamic_degradation,9,45000,50000,recovery,mild_slow,1,health_ec,40.2,39.1,41.5
dynamic_degradation,10,50000,55000,recovery,mild_slow,1,health_ec,40.3,39,42
dynamic_degradation,11,55000,60000,healthy,severe_slow,1,health_ec,95.3,88.4,105.4
dynamic_degradation,12,60000,65000,healthy,severe_slow,1,health_ec,95.6,90.8,110
dynamic_degradation,13,65000,70000,healthy,severe_slow,1,health_ec,95.05,89.7,103
dynamic_degradation,14,70000,75000,mild_slow,recovery,1,health_ec,40.35,39.2,42.5
dynamic_degradation,15,75000,80000,recovery,recovery,0,health_ec,25.65,25,26.5
dynamic_degradation,16,80000,85000,healthy,healthy,0,health_ec,18.8,18.4,19.2
dynamic_degradation,17,85000,90000,healthy,healthy,0,health_ec,18.75,18.5,19.1
dynamic_degradation,18,90000,95000,healthy,healthy,0,health_ec,18.8,18.5,19.2
dynamic_degradation,19,95000,100000,healthy,healthy,0,health_ec,18.8,18.4,19.1
