rank,candidate_id,a_abs,b_abs,theta_s,theta_d,post_warmup_gap_ms,severe_gap_ms,best_post_warmup_gap_ms,best_severe_gap_ms,bw_ratio_median,bw_ratio_max,coverage_pct,migration_triggers,migration_fp_max,pre_slowdown_parity_reads,recovery_parity_reads
1,t2_8_2_3|A=15|B=15|S=0.05|D=12,15,15,0.05,12,-10.1,-12.2,-10.3,-12.35,0.415,0.434,95.5,6,0,22,5072
2,t2_8_2_3|A=20|B=20|S=0.03|D=12,20,20,0.03,12,-10.1,-12.2,-10.3,-12.35,0.419,0.429,94.35,6,0,0,4961
3,t2_8_2_3|A=25|B=15|S=0.03|D=16,25,15,0.03,16,-10.1,-12.3,-10.3,-12.35,0.419,0.429,91.15,6,0,0,5141.5
4,t2_8_2_3|A=20|B=15|S=0.03|D=12,20,15,0.03,12,-10.1,-12.3,-10.3,-12.35,0.419,0.434,94.8,6,0,0,5149
5,t2_8_2_3|A=25|B=10|S=0.03|D=12,25,10,0.03,12,-10.15,-12.3,-10.3,-12.35,0.422,0.434,90.75,6,0,0,5295.5
6,t2_8_2_3|A=15|B=15|S=0.03|D=12,15,15,0.03,12,-10.2,-12.25,-10.3,-12.35,0.429,0.443,96.8,6,0,26,5159
7,t2_8_2_3|A=20|B=20|S=0.03|D=16,20,20,0.03,16,-10.2,-12.3,-10.3,-12.35,0.431,0.457,94.65,6,0,0,4945.5
8,t2_8_2_3|A=20|B=15|S=0.03|D=16,20,15,0.03,16,-10.2,-12.3,-10.3,-12.35,0.434,0.443,95,6,0,0,5153
9,t2_8_2_3|A=15|B=20|S=0.03|D=12,15,20,0.03,12,-10.15,-12.3,-10.3,-12.35,0.434,0.438,96.45,6,0,26,4982
10,t2_8_2_3|A=20|B=10|S=0.03|D=12,20,10,0.03,12,-10.2,-12.3,-10.3,-12.35,0.438,0.448,94.9,6,0,0,5297.5
11,t2_8_2_3|A=15|B=10|S=0.05|D=12,15,10,0.05,12,-10.15,-12.3,-10.3,-12.35,0.438,0.448,95.85,6,0,41,5290.5
12,t2_8_2_3|A=25|B=10|S=0.03|D=16,25,10,0.03,16,-10.1,-12.25,-10.3,-12.35,0.443,0.457,91.05,6,0,0,5310
13,t2_8_2_3|A=15|B=20|S=0.03|D=16,15,20,0.03,16,-10.2,-12.3,-10.3,-12.35,0.443,0.467,96.6,6,0,26,4989.5
14,t2_8_2_3|A=15|B=15|S=0.03|D=16,15,15,0.03,16,-10.2,-12.25,-10.3,-12.35,0.448,0.457,96.95,6,0,26,5207
15,t2_8_2_3|A=20|B=10|S=0.03|D=16,20,10,0.03,16,-10.2,-12.3,-10.3,-12.35,0.452,0.476,95.05,6,0,0,5313
16,t2_8_2_3|A=15|B=10|S=0.03|D=12,15,10,0.03,12,-10.3,-12.35,-10.3,-12.35,0.457,0.467,97,6,0,45,5297.5
17,t2_8_2_3|A=15|B=10|S=0.05|D=16,15,10,0.05,16,-10.2,-12.3,-10.3,-12.35,0.458,0.476,96,6,0,41,5306
18,t2_8_2_3|A=25|B=15|S=0.03|D=24,25,15,0.03,24,-10.1,-12.25,-10.3,-12.35,0.46,0.472,92.1,4,0,0,5821
19,t2_8_2_3|A=15|B=25|S=0.03|D=16,15,25,0.03,16,-10.1,-12.25,-10.3,-12.35,0.469,0.486,95.5,6,0,26,4858.5
20,t2_8_2_3|A=15|B=10|S=0.03|D=16,15,10,0.03,16,-10.3,-12.35,-10.3,-12.35,0.474,0.495,97.1,6,0,45,5313.5
21,t2_8_2_3|A=20|B=15|S=0.03|D=24,20,15,0.03,24,-10.2,-12.3,-10.3,-12.35,0.476,0.491,95.45,4,0,0,5819
22,t2_8_2_3|A=25|B=20|S=0.03|D=24,25,20,0.03,24,-10.1,-12.2,-10.3,-12.35,0.479,0.491,92.05,4,0,0,5566
23,t2_8_2_3|A=25|B=10|S=0.03|D=24,25,10,0.03,24,-10.15,-12.3,-10.3,-12.35,0.483,0.495,91.95,4,0,0,6020
24,t2_8_2_3|A=15|B=15|S=0.03|D=24,15,15,0.03,24,-10.2,-12.3,-10.3,-12.35,0.486,0.5,97.2,4,0,26,5844.5
25,t2_8_2_3|A=20|B=20|S=0.03|D=24,20,20,0.03,24,-10.2,-12.3,-10.3,-12.35,0.495,0.505,95.2,4,0,0,5586
26,t2_8_2_3|A=25|B=10|S=0.03|D=32,25,10,0.03,32,-10.1,-12.25,-10.3,-12.35,0.498,0.528,92.25,4,0,0,6021
27,t2_8_2_3|A=15|B=10|S=0.05|D=24,15,10,0.05,24,-10.15,-12.25,-10.3,-12.35,0.498,0.505,96.4,4,0,41,6016.5
28,t2_8_2_3|A=25|B=15|S=0.03|D=32,25,15,0.03,32,-10.1,-12.25,-10.3,-12.35,0.5,0.509,92.55,4,0,0,5862.5
29,t2_8_2_3|A=20|B=10|S=0.03|D=24,20,10,0.03,24,-10.2,-12.3,-10.3,-12.35,0.5,0.505,95.6,4,0,0,6021
30,t2_8_2_3|A=20|B=20|S=0.03|D=32,20,20,0.03,32,-10.15,-12.25,-10.3,-12.35,0.505,0.528,95.3,4,0,0,5569.5
31,t2_8_2_3|A=15|B=20|S=0.03|D=24,15,20,0.03,24,-10.2,-12.3,-10.3,-12.35,0.509,0.524,96.95,4,0,26,5654.5
32,t2_8_2_3|A=15|B=15|S=0.05|D=32,15,15,0.05,32,-10.1,-12.2,-10.3,-12.35,0.512,0.524,96.35,4,0,22,5815.5
33,t2_8_2_3|A=15|B=10|S=0.05|D=32,15,10,0.05,32,-10.1,-12.3,-10.3,-12.35,0.512,0.524,96.5,4,0,41,6011.5
34,t2_8_2_3|A=20|B=15|S=0.03|D=32,20,15,0.03,32,-10.2,-12.25,-10.3,-12.35,0.514,0.524,95.8,4,0,0,5849.5
35,t2_8_2_3|A=20|B=10|S=0.03|D=32,20,10,0.03,32,-10.2,-12.3,-10.3,-12.35,0.517,0.528,95.65,4,0,0,6022
36,t2_8_2_3|A=15|B=10|S=0.03|D=24,15,10,0.03,24,-10.3,-12.35,-10.3,-12.35,0.517,0.524,97.35,4,0,45,6023.5
37,t2_8_2_3|A=15|B=20|S=0.03|D=32,15,20,0.03,32,-10.15,-12.3,-10.3,-12.35,0.524,0.538,97,4,0,26,5645.5
38,t2_8_2_3|A=15|B=15|S=0.03|D=32,15,15,0.03,32,-10.2,-12.3,-10.3,-12.35,0.526,0.538,97.45,4,0,26,5914
39,t2_8_2_3|A=15|B=10|S=0.03|D=32,15,10,0.03,32,-10.3,-12.35,-10.3,-12.35,0.531,0.547,97.4,4,0,45,6023
